run_id,job_id,task,experiment,problem,problem_key,image_id,model,model_family,framework,state_space,method,method_title,t0,beta,canonical_start_time,native_start_time,native_end_time,native_time_mapping,initialization_kind,initialization_guide_mode,steps,solver,num_mpc_steps,delta,delta_nominal_uniform,delta_min,delta_max,K,lam,n_ctrl,lr,optimizer,warm_start,grad_clip,phi_normalization,control_cost_normalization,delta_t_lambda_scaling,num_pnp_steps,gamma0,alpha,noise_samples,num_opt_steps,num_rhso_steps,mu,hyperparameter_source_lam,hyperparameter_source_n_ctrl,hyperparameter_source_lr,hyperparameter_source_gamma0,hyperparameter_source_alpha,hyperparameter_source_mu,psnr,ssim,lpips,measurement_rmse,missing_rmse,missing_psnr,missing_ssim,observed_rmse,observed_psnr,degraded_psnr,degraded_ssim,degraded_lpips,guide_psnr,runtime,runtime_per_image,reconstruction_steps,network_forwards,model_evaluations,planning_model_evaluations,control_iterations,backprops_through_model,expected_model_evaluations,expected_backprops,objective_evaluations,data_gradient_evaluations,optimizer_iterations,denoiser_samples,expected_objective_evaluations,expected_data_gradients,rhso_terminal_mode,rhso_terminal_planner,rhso_consistency_kind,rhso_stage_diagnostics,rhso_consistency_diagnostics,rhso_jacobian_diagnostics,rhso_jacobian_probes,rhso_jacobian_power_iters,rhso_jacobian_seed,rhso_gradient_authority_diagnostics,measurement_noise_group,diagnostic_model_evaluations,diagnostic_network_forwards,diagnostic_jvps,diagnostic_vjps,diagnostic_seconds,stage_count,stage_delta_first,stage_delta_last,stage_delta_per_step_first,stage_delta_per_step_last,stage_theta_first,stage_theta_last,stage_v_pre_first,stage_v_post_last,endpoint_shift_native_relative_mean,endpoint_shift_pixel_rmse_mean,fidelity_shift_execution_mean,next_stage_recovery_mean,jacobian_sigma_max_first,jacobian_sigma_max_last,jacobian_log_anisotropy_first,jacobian_log_anisotropy_last,gradient_aligned_authority_first,gradient_aligned_authority_last,gradient_aligned_authority_mean,endpoint_fidelity_grad_norm_mean,state_fidelity_grad_norm_mean,gpu_baseline_gib,gpu_peak_gib,gpu_incremental_peak_gib,gpu_memory_source,gpu_process_baseline_gib,gpu_process_peak_gib,gpu_process_incremental_peak_gib,gpu_process_memory_source,batch_size,num_images,padded_items,warmup_seconds,model_load_seconds,seed,replicate,generative_noise_id,measurement_id,guide_id,initial_state_fingerprint,conditioning_label,cfg_scale,status,failure,output_dir,timestamp
final_sit,220653dfbbba,denoising__core,denoising__core,denoising,prob_114badd1eeb1e559,ALL,sit,standard_flow,torch,latent,sdedit,SDEdit,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,identity,1,heun,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,8.973278703090998,0.018226421325039863,0.7346260726451874,0.7782405018806458,,,,,,20.506989590911616,0.3925809256007184,0.48565553084015844,20.506989590911616,1.6862086364999413,0.016862086364999414,1,28,14,0,0,0,14,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5061,1.7627,0.2566,torch.cuda.max_memory_allocated,,,,unavailable,16,100,0,0.438,8.45,42,0,seed=42|model=sit|rep=0,4f1ef324498b78cc,8641c1f2d7a21390,187e6b46b45a76df,source_imagenet_class,4.0,ok,,,2026-09-10T15:23:44.074291
final_sit,3c3b5c98a3e3,denoising__core,denoising__core,denoising,prob_114badd1eeb1e559,ALL,sit,standard_flow,torch,latent,pnp,PnP-Flow,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,identity,,,,,0.004975124378109453,0.00497512437810943,0.004975124378109541,,,,,,,,half_mean_squared_per_measurement,,,200,100000.0,0.5,1,,,,not_applicable,not_applicable,not_applicable,method,method,not_applicable,25.176810745169927,0.6800308975780939,0.4294110538065434,0.2353544980287552,,,,,,20.506989590911616,0.3925809256007184,0.48565553084015844,20.506989590911616,471.7580475388095,4.717580475388095,200,2814,1407,0,0,0,1407,0,1400,1400,0,1407,1400,1400,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5061,14.0006,12.4945,torch.cuda.max_memory_allocated,,,,unavailable,16,100,0,74.9296,9.03,42,0,seed=42|model=sit|rep=0,4f1ef324498b78cc,8641c1f2d7a21390,187e6b46b45a76df,source_imagenet_class,4.0,ok,,,2026-09-11T00:34:22.598280
final_sit,0bb0843beca6,denoising__core,denoising__core,denoising,prob_114badd1eeb1e559,ALL,sit,standard_flow,torch,latent,dflow,D-Flow,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,identity,1,euler,,,1.0,1.0,1.0,,,,0.3,adam,,,half_mean_squared_per_measurement,,,,,,,640,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,25.42325723459978,0.6528493359899349,0.2834793429076672,0.23487414419651031,,,,,,20.506989590911616,0.3925809256007184,0.48565553084015844,20.506989590911616,2132.4443244049326,21.324443244049327,1,8974,4487,4480,4480,4480,4487,4480,4480,4480,4480,0,4487,4480,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5061,23.4828,21.9766,torch.cuda.max_memory_allocated,,,,unavailable,16,100,0,0.9767,9.03,42,0,seed=42|model=sit|rep=0,4f1ef324498b78cc,8641c1f2d7a21390,187e6b46b45a76df,source_imagenet_class,4.0,ok,,,2026-09-11T00:08:19.283555
final_sit,1dfe6d036808,denoising__core,denoising__core,denoising,prob_114badd1eeb1e559,ALL,sit,standard_flow,torch,latent,mpc_delta_t,MPC-delta_t,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,identity,,,8,0.125,0.125,0.125,0.125,,180.0,40,0.3,adam,False,,half_sum_squared,sum_squared,none,,,,,,,,method,method,method,not_applicable,not_applicable,not_applicable,27.575844159347966,0.749956052241209,0.19054180009290575,0.21964633464813232,,,,,,20.506989590911616,0.3925809256007184,0.48565553084015844,20.506989590911616,997.0382947251201,9.970382947251201,8,4032,2016,1960,2240,1960,2016,1960,0,0,0,0,2240,0,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5061,23.4781,21.972,torch.cuda.max_memory_allocated,,,,unavailable,16,100,0,5.2818,9.03,42,0,seed=42|model=sit|rep=0,4f1ef324498b78cc,8641c1f2d7a21390,187e6b46b45a76df,source_imagenet_class,4.0,ok,,,2026-09-11T00:25:08.804328
final_sit,fc81e3bc47a7,denoising__rhc,denoising__rhc,denoising,prob_114badd1eeb1e559,ALL,sit,standard_flow,torch,latent,mpc_rhc,MPC-RHC (K=1),1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,identity,,,4,0.25,0.25,0.25,0.25,1,5.0,40,0.2,adam,False,,half_sum_squared,sum_squared,,,,,,,,,method,method,method,not_applicable,not_applicable,not_applicable,27.14854593858688,0.7358305909034462,0.22766562800854445,0.22282004356384277,,,,,,20.506989590911616,0.3925809256007184,0.48565553084015844,20.506989590911616,236.46769030578434,2.3646769030578434,4,80,40,0,1600,0,40,0,0,0,0,0,1600,0,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.506,9.3115,7.8054,torch.cuda.max_memory_allocated,,,,unavailable,10,100,0,1.0588,8.45,42,0,seed=42|model=sit|rep=0,4f1ef324498b78cc,8641c1f2d7a21390,c4fe52623c248fbc,source_imagenet_class,4.0,ok,,,2026-09-10T15:27:48.149005
final_sit,caba2512fca5,denoising__rhso,denoising__rhso,denoising,prob_114badd1eeb1e559,ALL,sit,standard_flow,torch,latent,rhso,RHSO,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,identity,,heun,,,0.125,0.125,0.125,,,,0.03,adam,,,half_mean_squared_per_measurement,,,,,,,80,8,0.0,not_applicable,not_applicable,method,not_applicable,not_applicable,method,27.636748177009135,0.7461419476946424,0.20133516438305377,0.21795587241649628,,,,,,20.506989590911616,0.3925809256007184,0.48565553084015844,20.506989590911616,12895.831796306185,128.95831796306186,8,196384,98192,97920,10880,97920,98192,97920,10880,10880,10880,0,10880,10880,suffix,suffix_integration,,False,False,False,,,,False,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.506,63.5964,62.0905,torch.cuda.max_memory_allocated,,,,unavailable,6,100,0,11.2003,8.45,42,0,seed=42|model=sit|rep=0,4f1ef324498b78cc,8641c1f2d7a21390,037ef8ec8eed8dc9,source_imagenet_class,4.0,ok,,,2026-09-10T19:03:02.533418
final_sit,52ff8ad99840,deblurring__core,deblurring__core,deblur,prob_c2be85f48d232774,ALL,sit,standard_flow,torch,latent,sdedit,SDEdit,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,observed,1,heun,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,8.973278703090998,0.018226421325039863,0.7346260726451874,0.7299014925956726,,,,,,25.905274122170724,0.7119675892057821,0.2729102413356304,25.905274122170724,1.7059648726135492,0.017059648726135492,1,28,14,0,0,0,14,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5061,1.7637,0.2576,torch.cuda.max_memory_allocated,,,,unavailable,16,100,0,0.4637,9.03,42,0,seed=42|model=sit|rep=0,f94f831212115ea6,7a0d621a496f7a97,187e6b46b45a76df,source_imagenet_class,4.0,ok,,,2026-09-10T19:55:31.674612
final_sit,65e83f834154,deblurring__core,deblurring__core,deblur,prob_c2be85f48d232774,ALL,sit,standard_flow,torch,latent,pnp,PnP-Flow,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,observed,,,,,0.004975124378109453,0.00497512437810943,0.004975124378109541,,,,,,,,half_mean_squared_per_measurement,,,200,100000.0,0.5,1,,,,not_applicable,not_applicable,not_applicable,method,method,not_applicable,24.826945619504123,0.6656195849401488,0.45734050080180166,0.08403600007295609,,,,,,25.905274122170724,0.7119675892057821,0.2729102413356304,25.905274122170724,475.08986566774547,4.750898656677455,200,2814,1407,0,0,0,1407,0,1400,1400,0,1407,1400,1400,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5061,14.0006,12.4945,torch.cuda.max_memory_allocated,,,,unavailable,16,100,0,75.5338,9.03,42,0,seed=42|model=sit|rep=0,f94f831212115ea6,7a0d621a496f7a97,187e6b46b45a76df,source_imagenet_class,4.0,ok,,,2026-09-10T19:55:22.055700
final_sit,b5499d243287,deblurring__core,deblurring__core,deblur,prob_c2be85f48d232774,ALL,sit,standard_flow,torch,latent,dflow,D-Flow,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,observed,1,euler,,,1.0,1.0,1.0,,,,0.3,adam,,,half_mean_squared_per_measurement,,,,,,,640,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,24.497901663022663,0.6141112575895042,0.32394881673157216,0.09381505101919174,,,,,,25.905274122170724,0.7119675892057821,0.2729102413356304,25.905274122170724,2129.775616885163,21.297756168851627,1,8974,4487,4480,4480,4480,4487,4480,4480,4480,4480,0,4487,4480,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5061,23.4691,21.963,torch.cuda.max_memory_allocated,,,,unavailable,16,100,0,0.8921,8.36,42,0,seed=42|model=sit|rep=0,f94f831212115ea6,7a0d621a496f7a97,187e6b46b45a76df,source_imagenet_class,4.0,ok,,,2026-09-10T20:04:47.453134
final_sit,fb2793591c2f,deblurring__core,deblurring__core,deblur,prob_c2be85f48d232774,ALL,sit,standard_flow,torch,latent,mpc_delta_t,MPC-delta_t,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,observed,,,8,0.125,0.125,0.125,0.125,,360.0,40,0.3,adam,False,,half_sum_squared,sum_squared,none,,,,,,,,method,method,method,not_applicable,not_applicable,not_applicable,26.97725947746193,0.7474912759151703,0.2165167757309973,0.06426545977592468,,,,,,25.905274122170724,0.7119675892057821,0.2729102413356304,25.905274122170724,1002.244113526307,10.02244113526307,8,4032,2016,1960,2240,1960,2016,1960,0,0,0,0,2240,0,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5061,23.4703,21.9642,torch.cuda.max_memory_allocated,,,,unavailable,16,100,0,5.1119,9.03,42,0,seed=42|model=sit|rep=0,f94f831212115ea6,7a0d621a496f7a97,187e6b46b45a76df,source_imagenet_class,4.0,ok,,,2026-09-10T19:46:04.100716
