model,problem,method,lpips,psnr,ssim
pmf,denoising,pnp,.127,27.99,.752
pmf,deblur,pnp,.175,28.86,.823
pmf,super_resolution,pnp,.129,26.09,.769
pmf,random_inpaint,pnp,.127,26.04,.767
pmf,box_inpaint,pnp,.065,28.52,.870
pmf,denoising,dflow,.285,25.19,.671
pmf,deblur,dflow,.377,23.32,.605
pmf,super_resolution,dflow,.265,24.80,.673
pmf,random_inpaint,dflow,.263,24.91,.673
pmf,box_inpaint,dflow,.285,24.20,.683
pmf,denoising,mpc_rhc,.110,29.02,.808
pmf,deblur,mpc_rhc,.145,28.91,.796
pmf,super_resolution,mpc_rhc,.233,24.96,.689
pmf,random_inpaint,mpc_rhc,.237,24.82,.678
pmf,box_inpaint,mpc_rhc,.089,25.79,.842
pmf,denoising,mpc_delta_t,.151,28.30,.737
pmf,deblur,mpc_delta_t,.122,29.75,.836
pmf,super_resolution,mpc_delta_t,.108,27.07,.785
pmf,random_inpaint,mpc_delta_t,.091,28.03,.831
pmf,box_inpaint,mpc_delta_t,.051,29.58,.889
pmf,denoising,rhso,.150,28.47,.783
pmf,deblur,rhso,.105,29.84,.858
pmf,super_resolution,rhso,.098,27.78,.819
pmf,random_inpaint,rhso,.079,28.17,.840
pmf,box_inpaint,rhso,.068,28.26,.893
jit,denoising,pnp,.099,28.92,.795
jit,deblur,pnp,.166,29.10,.844
jit,super_resolution,pnp,.138,27.50,.793
jit,random_inpaint,pnp,.089,27.93,.825
jit,box_inpaint,pnp,.058,30.81,.874
jit,denoising,dflow,.656,19.10,.363
jit,deblur,dflow,.659,18.99,.355
jit,super_resolution,dflow,.655,19.07,.363
jit,random_inpaint,dflow,.653,19.09,.363
jit,box_inpaint,dflow,.657,18.92,.360
jit,denoising,mpc_rhc,.119,28.99,.798
jit,deblur,mpc_rhc,.165,29.15,.801
jit,super_resolution,mpc_rhc,.141,27.07,.768
jit,random_inpaint,mpc_rhc,.146,26.82,.759
jit,box_inpaint,mpc_rhc,.082,27.57,.844
jit,denoising,mpc_delta_t,.176,28.05,.727
jit,deblur,mpc_delta_t,.123,30.02,.843
jit,super_resolution,mpc_delta_t,.090,27.78,.801
jit,random_inpaint,mpc_delta_t,.073,28.75,.851
jit,box_inpaint,mpc_delta_t,.049,30.37,.891
jit,denoising,rhso,.267,27.43,.698
jit,deblur,rhso,.107,30.15,.870
jit,super_resolution,rhso,.104,27.93,.817
jit,random_inpaint,rhso,.075,28.58,.847
jit,box_inpaint,rhso,.051,29.87,.906
