run_id,job_id,task,experiment,problem,problem_key,image_id,model,model_family,framework,state_space,method,method_title,t0,beta,canonical_start_time,native_start_time,native_end_time,native_time_mapping,initialization_kind,initialization_guide_mode,steps,solver,num_mpc_steps,delta,delta_nominal_uniform,delta_min,delta_max,K,lam,n_ctrl,lr,optimizer,warm_start,grad_clip,phi_normalization,control_cost_normalization,delta_t_lambda_scaling,num_pnp_steps,gamma0,alpha,noise_samples,num_opt_steps,num_rhso_steps,mu,hyperparameter_source_lam,hyperparameter_source_n_ctrl,hyperparameter_source_lr,hyperparameter_source_gamma0,hyperparameter_source_alpha,hyperparameter_source_mu,psnr,ssim,lpips,measurement_rmse,missing_rmse,missing_psnr,missing_ssim,observed_rmse,observed_psnr,degraded_psnr,degraded_ssim,degraded_lpips,guide_psnr,runtime,runtime_per_image,reconstruction_steps,network_forwards,model_evaluations,planning_model_evaluations,control_iterations,backprops_through_model,expected_model_evaluations,expected_backprops,objective_evaluations,data_gradient_evaluations,optimizer_iterations,denoiser_samples,expected_objective_evaluations,expected_data_gradients,rhso_terminal_mode,rhso_terminal_planner,rhso_consistency_kind,rhso_stage_diagnostics,rhso_consistency_diagnostics,rhso_jacobian_diagnostics,rhso_jacobian_probes,rhso_jacobian_power_iters,rhso_jacobian_seed,rhso_gradient_authority_diagnostics,measurement_noise_group,diagnostic_model_evaluations,diagnostic_network_forwards,diagnostic_jvps,diagnostic_vjps,diagnostic_seconds,stage_count,stage_delta_first,stage_delta_last,stage_delta_per_step_first,stage_delta_per_step_last,stage_theta_first,stage_theta_last,stage_v_pre_first,stage_v_post_last,endpoint_shift_native_relative_mean,endpoint_shift_pixel_rmse_mean,fidelity_shift_execution_mean,next_stage_recovery_mean,jacobian_sigma_max_first,jacobian_sigma_max_last,jacobian_log_anisotropy_first,jacobian_log_anisotropy_last,gradient_aligned_authority_first,gradient_aligned_authority_last,gradient_aligned_authority_mean,endpoint_fidelity_grad_norm_mean,state_fidelity_grad_norm_mean,gpu_baseline_gib,gpu_peak_gib,gpu_incremental_peak_gib,gpu_memory_source,gpu_process_baseline_gib,gpu_process_peak_gib,gpu_process_incremental_peak_gib,gpu_process_memory_source,batch_size,num_images,padded_items,warmup_seconds,model_load_seconds,seed,replicate,generative_noise_id,measurement_id,guide_id,initial_state_fingerprint,conditioning_label,cfg_scale,status,failure,output_dir,timestamp
hpo_full_imf,1d4fc745acbd,box_inpainting__dflow,box_inpainting__dflow,box_inpaint,prob_4459e49fb12d0091,000_00_tench,imf,meanflow,jax,latent,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,zero_fill,1,,,,1.0,1.0,1.0,,,,0.003,adam,,,half_mean_squared_per_measurement,,,,,,,160,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,17.5591137098785,0.0856549346998992,0.9474032521247864,0.3370916247367859,0.3811980852795639,14.39758570221241,0.06957807589441109,0.33759083005971996,15.452787084808579,27.397933997630275,0.8317036523115561,0.10654545947909355,27.397933997630275,141.00816483050585,35.25204120762646,1,322,322,320,320,320,322,320,320,320,320,0,322,320,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.5938,9.168,6.5742,"nvml_process_sampling(interval=0.02s)  [SAMPLED PROCESS PEAK, not an allocator high-water mark]",2.5938,9.168,6.5742,nvml_process_sampling(interval=0.02s),2,4,0,0.5611,10.65,42,0,seed=42|model=imf|rep=0,e88ef017b2c127c7,f1c96c1491ac852b,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,/home/xiandadu/controllable-image-generation/outputs/hpo_full_imf/box_inpainting__dflow/imf/dflow/t0=1.000__steps=1__opt=160__lr=0.003__adam__1d4fc745,2026-09-06T13:16:04.338257
hpo_full_imf,1d4fc745acbd,box_inpainting__dflow,box_inpainting__dflow,box_inpaint,prob_4459e49fb12d0091,039_01_iguana,imf,meanflow,jax,latent,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,zero_fill,1,,,,1.0,1.0,1.0,,,,0.003,adam,,,half_mean_squared_per_measurement,,,,,,,160,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,13.59657875467798,0.28580211694801766,0.6177760362625122,0.3370916247367859,0.3811980852795639,14.39758570221241,0.06957807589441109,0.33759083005971996,15.452787084808579,27.397933997630275,0.8317036523115561,0.10654545947909355,27.397933997630275,141.00816483050585,35.25204120762646,1,322,322,320,320,320,322,320,320,320,320,0,322,320,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.5938,9.168,6.5742,"nvml_process_sampling(interval=0.02s)  [SAMPLED PROCESS PEAK, not an allocator high-water mark]",2.5938,9.168,6.5742,nvml_process_sampling(interval=0.02s),2,4,0,0.5611,10.65,42,0,seed=42|model=imf|rep=0,e88ef017b2c127c7,f1c96c1491ac852b,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,/home/xiandadu/controllable-image-generation/outputs/hpo_full_imf/box_inpainting__dflow/imf/dflow/t0=1.000__steps=1__opt=160__lr=0.003__adam__1d4fc745,2026-09-06T13:16:04.338257
hpo_full_imf,1d4fc745acbd,box_inpainting__dflow,box_inpainting__dflow,box_inpaint,prob_4459e49fb12d0091,081_02_ptarmigan,imf,meanflow,jax,latent,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,zero_fill,1,,,,1.0,1.0,1.0,,,,0.003,adam,,,half_mean_squared_per_measurement,,,,,,,160,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,16.911138572987333,0.34300346113198904,0.65778648853302,0.3370916247367859,0.3811980852795639,14.39758570221241,0.06957807589441109,0.33759083005971996,15.452787084808579,27.397933997630275,0.8317036523115561,0.10654545947909355,27.397933997630275,141.00816483050585,35.25204120762646,1,322,322,320,320,320,322,320,320,320,320,0,322,320,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.5938,9.168,6.5742,"nvml_process_sampling(interval=0.02s)  [SAMPLED PROCESS PEAK, not an allocator high-water mark]",2.5938,9.168,6.5742,nvml_process_sampling(interval=0.02s),2,4,0,0.5611,10.65,42,0,seed=42|model=imf|rep=0,e88ef017b2c127c7,f1c96c1491ac852b,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,/home/xiandadu/controllable-image-generation/outputs/hpo_full_imf/box_inpainting__dflow/imf/dflow/t0=1.000__steps=1__opt=160__lr=0.003__adam__1d4fc745,2026-09-06T13:16:04.338257
hpo_full_imf,1d4fc745acbd,box_inpainting__dflow,box_inpainting__dflow,box_inpaint,prob_4459e49fb12d0091,088_03_macaw,imf,meanflow,jax,latent,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,zero_fill,1,,,,1.0,1.0,1.0,,,,0.003,adam,,,half_mean_squared_per_measurement,,,,,,,160,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,14.79655842782469,0.23711854918942518,0.6497928500175476,0.3370916247367859,0.3811980852795639,14.39758570221241,0.06957807589441109,0.33759083005971996,15.452787084808579,27.397933997630275,0.8317036523115561,0.10654545947909355,27.397933997630275,141.00816483050585,35.25204120762646,1,322,322,320,320,320,322,320,320,320,320,0,322,320,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.5938,9.168,6.5742,"nvml_process_sampling(interval=0.02s)  [SAMPLED PROCESS PEAK, not an allocator high-water mark]",2.5938,9.168,6.5742,nvml_process_sampling(interval=0.02s),2,4,0,0.5611,10.65,42,0,seed=42|model=imf|rep=0,e88ef017b2c127c7,f1c96c1491ac852b,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,/home/xiandadu/controllable-image-generation/outputs/hpo_full_imf/box_inpainting__dflow/imf/dflow/t0=1.000__steps=1__opt=160__lr=0.003__adam__1d4fc745,2026-09-06T13:16:04.338257
hpo_full_imf,a1c3c084cf8e,box_inpainting__dflow,box_inpainting__dflow,box_inpaint,prob_4459e49fb12d0091,000_00_tench,imf,meanflow,jax,latent,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,zero_fill,1,,,,1.0,1.0,1.0,,,,0.003,adam,,,half_mean_squared_per_measurement,,,,,,,320,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,17.825571458638255,0.09880741142492934,0.8618394732475281,0.3188890814781189,0.35820311495408813,14.938012749714524,0.06319912768801263,0.3189671087343586,15.945681877944164,27.397933997630275,0.8317036523115561,0.10654545947909355,27.397933997630275,283.5772937424481,70.89432343561202,1,642,642,640,640,640,642,640,640,640,640,0,642,640,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.5938,9.168,6.5742,"nvml_process_sampling(interval=0.02s)  [SAMPLED PROCESS PEAK, not an allocator high-water mark]",2.5938,9.168,6.5742,nvml_process_sampling(interval=0.02s),2,4,0,0.5611,10.65,42,0,seed=42|model=imf|rep=0,e88ef017b2c127c7,f1c96c1491ac852b,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,/home/xiandadu/controllable-image-generation/outputs/hpo_full_imf/box_inpainting__dflow/imf/dflow/t0=1.000__steps=1__opt=320__lr=0.003__adam__a1c3c084,2026-09-06T13:20:48.707484
hpo_full_imf,a1c3c084cf8e,box_inpainting__dflow,box_inpainting__dflow,box_inpaint,prob_4459e49fb12d0091,039_01_iguana,imf,meanflow,jax,latent,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,zero_fill,1,,,,1.0,1.0,1.0,,,,0.003,adam,,,half_mean_squared_per_measurement,,,,,,,320,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,14.207126122060254,0.2958923916149756,0.622356116771698,0.3188890814781189,0.35820311495408813,14.938012749714524,0.06319912768801263,0.3189671087343586,15.945681877944164,27.397933997630275,0.8317036523115561,0.10654545947909355,27.397933997630275,283.5772937424481,70.89432343561202,1,642,642,640,640,640,642,640,640,640,640,0,642,640,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.5938,9.168,6.5742,"nvml_process_sampling(interval=0.02s)  [SAMPLED PROCESS PEAK, not an allocator high-water mark]",2.5938,9.168,6.5742,nvml_process_sampling(interval=0.02s),2,4,0,0.5611,10.65,42,0,seed=42|model=imf|rep=0,e88ef017b2c127c7,f1c96c1491ac852b,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,/home/xiandadu/controllable-image-generation/outputs/hpo_full_imf/box_inpainting__dflow/imf/dflow/t0=1.000__steps=1__opt=320__lr=0.003__adam__a1c3c084,2026-09-06T13:20:48.707484
hpo_full_imf,a1c3c084cf8e,box_inpainting__dflow,box_inpainting__dflow,box_inpaint,prob_4459e49fb12d0091,081_02_ptarmigan,imf,meanflow,jax,latent,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,zero_fill,1,,,,1.0,1.0,1.0,,,,0.003,adam,,,half_mean_squared_per_measurement,,,,,,,320,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,17.217028914212726,0.3705872058803746,0.6411961913108826,0.3188890814781189,0.35820311495408813,14.938012749714524,0.06319912768801263,0.3189671087343586,15.945681877944164,27.397933997630275,0.8317036523115561,0.10654545947909355,27.397933997630275,283.5772937424481,70.89432343561202,1,642,642,640,640,640,642,640,640,640,640,0,642,640,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.5938,9.168,6.5742,"nvml_process_sampling(interval=0.02s)  [SAMPLED PROCESS PEAK, not an allocator high-water mark]",2.5938,9.168,6.5742,nvml_process_sampling(interval=0.02s),2,4,0,0.5611,10.65,42,0,seed=42|model=imf|rep=0,e88ef017b2c127c7,f1c96c1491ac852b,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,/home/xiandadu/controllable-image-generation/outputs/hpo_full_imf/box_inpainting__dflow/imf/dflow/t0=1.000__steps=1__opt=320__lr=0.003__adam__a1c3c084,2026-09-06T13:20:48.707484
hpo_full_imf,a1c3c084cf8e,box_inpainting__dflow,box_inpainting__dflow,box_inpaint,prob_4459e49fb12d0091,088_03_macaw,imf,meanflow,jax,latent,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,zero_fill,1,,,,1.0,1.0,1.0,,,,0.003,adam,,,half_mean_squared_per_measurement,,,,,,,320,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,15.382974434653322,0.2749978392854333,0.6369953751564026,0.3188890814781189,0.35820311495408813,14.938012749714524,0.06319912768801263,0.3189671087343586,15.945681877944164,27.397933997630275,0.8317036523115561,0.10654545947909355,27.397933997630275,283.5772937424481,70.89432343561202,1,642,642,640,640,640,642,640,640,640,640,0,642,640,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.5938,9.168,6.5742,"nvml_process_sampling(interval=0.02s)  [SAMPLED PROCESS PEAK, not an allocator high-water mark]",2.5938,9.168,6.5742,nvml_process_sampling(interval=0.02s),2,4,0,0.5611,10.65,42,0,seed=42|model=imf|rep=0,e88ef017b2c127c7,f1c96c1491ac852b,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,/home/xiandadu/controllable-image-generation/outputs/hpo_full_imf/box_inpainting__dflow/imf/dflow/t0=1.000__steps=1__opt=320__lr=0.003__adam__a1c3c084,2026-09-06T13:20:48.707484
hpo_full_imf,8c81a33cc6fa,box_inpainting__dflow,box_inpainting__dflow,box_inpaint,prob_4459e49fb12d0091,000_00_tench,imf,meanflow,jax,latent,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,zero_fill,1,,,,1.0,1.0,1.0,,,,0.003,adam,,,half_mean_squared_per_measurement,,,,,,,640,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,18.75005341244656,0.15668298824270174,0.8538181185722351,0.28496426343917847,0.3260637182511337,15.75455037935294,0.089963992476355,0.2841809715950095,16.948700018364885,27.397933997630275,0.8317036523115561,0.10654545947909355,27.397933997630275,568.628075780347,142.15701894508675,1,1282,1282,1280,1280,1280,1282,1280,1280,1280,1280,0,1282,1280,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.5938,9.168,6.5742,"nvml_process_sampling(interval=0.02s)  [SAMPLED PROCESS PEAK, not an allocator high-water mark]",2.5938,9.168,6.5742,nvml_process_sampling(interval=0.02s),2,4,0,0.5611,10.65,42,0,seed=42|model=imf|rep=0,e88ef017b2c127c7,f1c96c1491ac852b,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,/home/xiandadu/controllable-image-generation/outputs/hpo_full_imf/box_inpainting__dflow/imf/dflow/t0=1.000__steps=1__opt=640__lr=0.003__adam__8c81a33c,2026-09-06T13:30:18.076575
hpo_full_imf,8c81a33cc6fa,box_inpainting__dflow,box_inpainting__dflow,box_inpaint,prob_4459e49fb12d0091,039_01_iguana,imf,meanflow,jax,latent,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,zero_fill,1,,,,1.0,1.0,1.0,,,,0.003,adam,,,half_mean_squared_per_measurement,,,,,,,640,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,15.364426579177694,0.31900741776935176,0.5747263431549072,0.28496426343917847,0.3260637182511337,15.75455037935294,0.089963992476355,0.2841809715950095,16.948700018364885,27.397933997630275,0.8317036523115561,0.10654545947909355,27.397933997630275,568.628075780347,142.15701894508675,1,1282,1282,1280,1280,1280,1282,1280,1280,1280,1280,0,1282,1280,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.5938,9.168,6.5742,"nvml_process_sampling(interval=0.02s)  [SAMPLED PROCESS PEAK, not an allocator high-water mark]",2.5938,9.168,6.5742,nvml_process_sampling(interval=0.02s),2,4,0,0.5611,10.65,42,0,seed=42|model=imf|rep=0,e88ef017b2c127c7,f1c96c1491ac852b,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,/home/xiandadu/controllable-image-generation/outputs/hpo_full_imf/box_inpainting__dflow/imf/dflow/t0=1.000__steps=1__opt=640__lr=0.003__adam__8c81a33c,2026-09-06T13:30:18.076575
