run_id,job_id,task,experiment,problem,problem_key,image_id,model,model_family,framework,state_space,method,method_title,t0,beta,canonical_start_time,native_start_time,native_end_time,native_time_mapping,initialization_kind,initialization_guide_mode,steps,solver,num_mpc_steps,delta,delta_nominal_uniform,delta_min,delta_max,K,lam,n_ctrl,lr,optimizer,warm_start,grad_clip,phi_normalization,control_cost_normalization,delta_t_lambda_scaling,num_pnp_steps,gamma0,alpha,noise_samples,num_opt_steps,num_rhso_steps,mu,hyperparameter_source_lam,hyperparameter_source_n_ctrl,hyperparameter_source_lr,hyperparameter_source_gamma0,hyperparameter_source_alpha,hyperparameter_source_mu,psnr,ssim,lpips,measurement_rmse,missing_rmse,missing_psnr,missing_ssim,observed_rmse,observed_psnr,degraded_psnr,degraded_ssim,degraded_lpips,guide_psnr,runtime,runtime_per_image,reconstruction_steps,network_forwards,model_evaluations,planning_model_evaluations,control_iterations,backprops_through_model,expected_model_evaluations,expected_backprops,objective_evaluations,data_gradient_evaluations,optimizer_iterations,denoiser_samples,expected_objective_evaluations,expected_data_gradients,rhso_terminal_mode,rhso_terminal_planner,rhso_consistency_kind,rhso_stage_diagnostics,rhso_consistency_diagnostics,rhso_jacobian_diagnostics,rhso_jacobian_probes,rhso_jacobian_power_iters,rhso_jacobian_seed,rhso_gradient_authority_diagnostics,measurement_noise_group,diagnostic_model_evaluations,diagnostic_network_forwards,diagnostic_jvps,diagnostic_vjps,diagnostic_seconds,stage_count,stage_delta_first,stage_delta_last,stage_delta_per_step_first,stage_delta_per_step_last,stage_theta_first,stage_theta_last,stage_v_pre_first,stage_v_post_last,endpoint_shift_native_relative_mean,endpoint_shift_pixel_rmse_mean,fidelity_shift_execution_mean,next_stage_recovery_mean,jacobian_sigma_max_first,jacobian_sigma_max_last,jacobian_log_anisotropy_first,jacobian_log_anisotropy_last,gradient_aligned_authority_first,gradient_aligned_authority_last,gradient_aligned_authority_mean,endpoint_fidelity_grad_norm_mean,state_fidelity_grad_norm_mean,gpu_baseline_gib,gpu_peak_gib,gpu_incremental_peak_gib,gpu_memory_source,gpu_process_baseline_gib,gpu_process_peak_gib,gpu_process_incremental_peak_gib,gpu_process_memory_source,batch_size,num_images,padded_items,warmup_seconds,model_load_seconds,seed,replicate,generative_noise_id,measurement_id,guide_id,initial_state_fingerprint,conditioning_label,cfg_scale,status,failure,output_dir,timestamp
stage2_imf,70b76eb68b21,denoising__sdedit__c1,denoising__sdedit__c1,denoising,prob_114badd1eeb1e559,ALL,imf,meanflow,jax,latent,sdedit,SDEdit,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,8,,,,0.125,0.125,0.125,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,9.750253536192531,0.04979322374989789,0.7558332458138466,0.6984706521034241,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,1.5705932434648275,0.19632415543310344,8,32,32,0,0,0,32,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0064,6.6145,5.6081,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,2,8,0,0.6865,7.0,42,0,seed=42|model=imf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,,2026-09-09T15:14:41.157890
stage2_imf,8ac649b45b04,denoising__sdedit__c2,denoising__sdedit__c2,denoising,prob_114badd1eeb1e559,ALL,imf,meanflow,jax,latent,sdedit,SDEdit,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,4,,,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,9.75361928019246,0.05472756356149325,0.7592291161417961,0.6970319151878357,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,0.812791277654469,0.10159890970680863,4,16,16,0,0,0,16,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0064,6.6145,5.6081,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,2,8,0,0.4778,7.0,42,0,seed=42|model=imf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,,2026-09-09T15:14:44.218612
stage2_imf,c1ede0f178e1,denoising__sdedit__c3,denoising__sdedit__c3,denoising,prob_114badd1eeb1e559,ALL,imf,meanflow,jax,latent,sdedit,SDEdit,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,2,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,9.750576288299758,0.05576412028528532,0.765074335038662,0.6974027752876282,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,0.4017090601846576,0.0502136325230822,2,8,8,0,0,0,8,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0064,6.6145,5.6081,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,2,8,0,0.3764,7.0,42,0,seed=42|model=imf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,,2026-09-09T15:14:46.788687
stage2_imf,2d327bc5c073,denoising__sdedit__c4,denoising__sdedit__c4,denoising,prob_114badd1eeb1e559,ALL,imf,meanflow,jax,latent,sdedit,SDEdit,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,16,,,,0.0625,0.0625,0.0625,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,9.67180334666852,0.048923860385560326,0.7560528442263603,0.7053084969520569,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,3.0783576238900423,0.3847947029862553,16,64,64,0,0,0,64,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0064,6.6145,5.6081,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,2,8,0,1.0536,7.0,42,0,seed=42|model=imf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,,2026-09-09T15:14:52.776334
stage2_imf,67373c26ddb6,denoising__pnp__c1,denoising__pnp__c1,denoising,prob_114badd1eeb1e559,ALL,imf,meanflow,jax,latent,pnp,PnP-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,,,,,0.004975124378109453,0.00497512437810943,0.004975124378109541,,,,,,,,half_mean_squared_per_measurement,,,200,100000.0,1.0,1,,,,not_applicable,not_applicable,not_applicable,method,method,not_applicable,25.110764266578833,0.6397840361160145,0.35969216749072075,0.2314697504043579,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,264.48002697341144,33.06000337167643,200,804,804,0,0,0,804,0,800,800,0,804,800,800,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0064,6.61,5.6036,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,2,8,0,64.7671,7.0,42,0,seed=42|model=imf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,,2026-09-09T13:00:10.526896
stage2_imf,943e3daec239,denoising__pnp__c2,denoising__pnp__c2,denoising,prob_114badd1eeb1e559,ALL,imf,meanflow,jax,latent,pnp,PnP-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,,,,,0.004975124378109453,0.00497512437810943,0.004975124378109541,,,,,,,,half_mean_squared_per_measurement,,,200,100000.0,0.75,1,,,,not_applicable,not_applicable,not_applicable,method,method,not_applicable,25.114380223780543,0.6510096356412342,0.3782879039645195,0.2313372939825058,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,276.74341729376465,34.59292716172058,200,804,804,0,0,0,804,0,800,800,0,804,800,800,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0064,6.61,5.6036,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,2,8,0,64.7671,7.0,42,0,seed=42|model=imf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,,2026-09-09T13:04:49.272715
stage2_imf,44a8ac9c1bf0,denoising__pnp__c3,denoising__pnp__c3,denoising,prob_114badd1eeb1e559,ALL,imf,meanflow,jax,latent,pnp,PnP-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,,,,,0.004975124378109453,0.00497512437810943,0.004975124378109541,,,,,,,,half_mean_squared_per_measurement,,,200,25000.0,0.25,1,,,,not_applicable,not_applicable,not_applicable,method,method,not_applicable,25.19918419430901,0.6548265715300146,0.37560227885842323,0.23097902536392212,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,276.94378180895,34.61797272611875,200,804,804,0,0,0,804,0,800,800,0,804,800,800,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0064,6.61,5.6036,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,2,8,0,64.7671,7.0,42,0,seed=42|model=imf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,,2026-09-09T13:09:28.100066
stage2_imf,cb938b113c53,denoising__pnp__c4,denoising__pnp__c4,denoising,prob_114badd1eeb1e559,ALL,imf,meanflow,jax,latent,pnp,PnP-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,,,,,0.0023584905660377358,0.002358490566037652,0.002358490566037763,,,,,,,,half_mean_squared_per_measurement,,,423,100000.0,1.0,1,,,,not_applicable,not_applicable,not_applicable,method,method,not_applicable,25.61242958025663,0.6690760172657062,0.30499652959406376,0.22782941162586212,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,589.3748250799254,73.67185313499067,423,1696,1696,0,0,0,1696,0,1692,1692,0,1696,1692,1692,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0064,6.61,5.6036,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,2,8,0,147.6413,7.0,42,0,seed=42|model=imf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,,2026-09-09T13:21:47.026244
stage2_imf,1d612d6afbfb,denoising__dflow__c1,denoising__dflow__c1,denoising,prob_114badd1eeb1e559,ALL,imf,meanflow,jax,latent,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,1,,,,1.0,1.0,1.0,,,,0.3,adam,,,half_mean_squared_per_measurement,,,,,,,640,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,24.645313189663938,0.6258305041117707,0.36571499332785606,0.23345670104026794,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,802.8267383193597,100.35334228991996,1,2564,2564,2560,2560,2560,2564,2560,2560,2560,2560,0,2564,2560,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.014,6.591,5.577,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,2,8,0,0.3149,7.45,42,0,seed=42|model=imf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,,2026-09-09T13:04:06.670294
stage2_imf,15c1aecdc052,denoising__dflow__c2,denoising__dflow__c2,denoising,prob_114badd1eeb1e559,ALL,imf,meanflow,jax,latent,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,1,,,,1.0,1.0,1.0,,,,0.1,adam,,,half_mean_squared_per_measurement,,,,,,,640,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,23.777461856491175,0.5707469585569532,0.4154882747679949,0.24354685842990875,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,806.4097956549376,100.8012244568672,1,2564,2564,2560,2560,2560,2564,2560,2560,2560,2560,0,2564,2560,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.014,6.591,5.577,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,2,8,0,0.3149,7.45,42,0,seed=42|model=imf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,60a6dc5c91c914cc,source_imagenet_class,8.0,ok,,,2026-09-09T13:17:34.786692
