run_id,job_id,task,experiment,problem,problem_key,image_id,model,model_family,framework,state_space,method,method_title,t0,beta,canonical_start_time,native_start_time,native_end_time,native_time_mapping,initialization_kind,initialization_guide_mode,steps,solver,num_mpc_steps,delta,delta_nominal_uniform,delta_min,delta_max,K,lam,n_ctrl,lr,optimizer,warm_start,grad_clip,phi_normalization,control_cost_normalization,delta_t_lambda_scaling,num_pnp_steps,gamma0,alpha,noise_samples,num_opt_steps,num_rhso_steps,mu,hyperparameter_source_lam,hyperparameter_source_n_ctrl,hyperparameter_source_lr,hyperparameter_source_gamma0,hyperparameter_source_alpha,hyperparameter_source_mu,psnr,ssim,lpips,measurement_rmse,missing_rmse,missing_psnr,missing_ssim,observed_rmse,observed_psnr,degraded_psnr,degraded_ssim,degraded_lpips,guide_psnr,runtime,runtime_per_image,reconstruction_steps,network_forwards,model_evaluations,planning_model_evaluations,control_iterations,backprops_through_model,expected_model_evaluations,expected_backprops,objective_evaluations,data_gradient_evaluations,optimizer_iterations,denoiser_samples,expected_objective_evaluations,expected_data_gradients,rhso_terminal_mode,rhso_terminal_planner,rhso_consistency_kind,rhso_stage_diagnostics,rhso_consistency_diagnostics,rhso_jacobian_diagnostics,rhso_jacobian_probes,rhso_jacobian_power_iters,rhso_jacobian_seed,rhso_gradient_authority_diagnostics,measurement_noise_group,diagnostic_model_evaluations,diagnostic_network_forwards,diagnostic_jvps,diagnostic_vjps,diagnostic_seconds,stage_count,stage_delta_first,stage_delta_last,stage_delta_per_step_first,stage_delta_per_step_last,stage_theta_first,stage_theta_last,stage_v_pre_first,stage_v_post_last,endpoint_shift_native_relative_mean,endpoint_shift_pixel_rmse_mean,fidelity_shift_execution_mean,next_stage_recovery_mean,jacobian_sigma_max_first,jacobian_sigma_max_last,jacobian_log_anisotropy_first,jacobian_log_anisotropy_last,gradient_aligned_authority_first,gradient_aligned_authority_last,gradient_aligned_authority_mean,endpoint_fidelity_grad_norm_mean,state_fidelity_grad_norm_mean,gpu_baseline_gib,gpu_peak_gib,gpu_incremental_peak_gib,gpu_memory_source,gpu_process_baseline_gib,gpu_process_peak_gib,gpu_process_incremental_peak_gib,gpu_process_memory_source,batch_size,num_images,padded_items,warmup_seconds,model_load_seconds,seed,replicate,generative_noise_id,measurement_id,guide_id,initial_state_fingerprint,conditioning_label,cfg_scale,status,failure,output_dir,timestamp
stage2_pmf_r2,b2f9241c492d,denoising__dflow__x1,denoising__dflow__x1,denoising,prob_114badd1eeb1e559,000_00_tench,pmf,meanflow,jax,pixel,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,1,,,,1.0,1.0,1.0,,,,0.1,adam,,,half_mean_squared_per_measurement,,,,,,,2560,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,24.739240438331585,0.5826279516288183,0.27885910868644714,0.2067287117242813,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,2265.1707959072664,283.1463494884083,1,5122,5122,5120,5120,5120,5122,5120,5120,5120,5120,0,5122,5120,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5805,8.0,6.4195,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,4,8,0,5.3142,8.85,42,0,seed=42|model=pmf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,f20a75fb006ed8cc,source_imagenet_class,7.0,ok,,,2026-09-09T13:49:43.152061
stage2_pmf_r2,b2f9241c492d,denoising__dflow__x1,denoising__dflow__x1,denoising,prob_114badd1eeb1e559,039_01_iguana,pmf,meanflow,jax,pixel,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,1,,,,1.0,1.0,1.0,,,,0.1,adam,,,half_mean_squared_per_measurement,,,,,,,2560,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,24.77890582961625,0.8005326331756973,0.12264294922351837,0.2067287117242813,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,2265.1707959072664,283.1463494884083,1,5122,5122,5120,5120,5120,5122,5120,5120,5120,5120,0,5122,5120,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5805,8.0,6.4195,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,4,8,0,5.3142,8.85,42,0,seed=42|model=pmf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,f20a75fb006ed8cc,source_imagenet_class,7.0,ok,,,2026-09-09T13:49:43.152061
stage2_pmf_r2,b2f9241c492d,denoising__dflow__x1,denoising__dflow__x1,denoising,prob_114badd1eeb1e559,081_02_ptarmigan,pmf,meanflow,jax,pixel,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,1,,,,1.0,1.0,1.0,,,,0.1,adam,,,half_mean_squared_per_measurement,,,,,,,2560,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,26.881784878915468,0.7620631021776604,0.20944038033485413,0.2067287117242813,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,2265.1707959072664,283.1463494884083,1,5122,5122,5120,5120,5120,5122,5120,5120,5120,5120,0,5122,5120,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5805,8.0,6.4195,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,4,8,0,5.3142,8.85,42,0,seed=42|model=pmf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,f20a75fb006ed8cc,source_imagenet_class,7.0,ok,,,2026-09-09T13:49:43.152061
stage2_pmf_r2,b2f9241c492d,denoising__dflow__x1,denoising__dflow__x1,denoising,prob_114badd1eeb1e559,088_03_macaw,pmf,meanflow,jax,pixel,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,1,,,,1.0,1.0,1.0,,,,0.1,adam,,,half_mean_squared_per_measurement,,,,,,,2560,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,25.966837691017627,0.6172854112500222,0.19556006789207458,0.2067287117242813,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,2265.1707959072664,283.1463494884083,1,5122,5122,5120,5120,5120,5122,5120,5120,5120,5120,0,5122,5120,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5805,8.0,6.4195,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,4,8,0,5.3142,8.85,42,0,seed=42|model=pmf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,f20a75fb006ed8cc,source_imagenet_class,7.0,ok,,,2026-09-09T13:49:43.152061
stage2_pmf_r2,b2f9241c492d,denoising__dflow__x1,denoising__dflow__x1,denoising,prob_114badd1eeb1e559,207_04_golden_retriever,pmf,meanflow,jax,pixel,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,1,,,,1.0,1.0,1.0,,,,0.1,adam,,,half_mean_squared_per_measurement,,,,,,,2560,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,29.668618919533458,0.6940410887794313,0.2515847682952881,0.2067287117242813,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,2265.1707959072664,283.1463494884083,1,5122,5122,5120,5120,5120,5122,5120,5120,5120,5120,0,5122,5120,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5805,8.0,6.4195,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,4,8,0,5.3142,8.85,42,0,seed=42|model=pmf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,f20a75fb006ed8cc,source_imagenet_class,7.0,ok,,,2026-09-09T13:49:43.152061
stage2_pmf_r2,b2f9241c492d,denoising__dflow__x1,denoising__dflow__x1,denoising,prob_114badd1eeb1e559,281_05_tabby_cat,pmf,meanflow,jax,pixel,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,1,,,,1.0,1.0,1.0,,,,0.1,adam,,,half_mean_squared_per_measurement,,,,,,,2560,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,27.841348390448296,0.7638286762494705,0.12968088686466217,0.2067287117242813,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,2265.1707959072664,283.1463494884083,1,5122,5122,5120,5120,5120,5122,5120,5120,5120,5120,0,5122,5120,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5805,8.0,6.4195,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,4,8,0,5.3142,8.85,42,0,seed=42|model=pmf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,f20a75fb006ed8cc,source_imagenet_class,7.0,ok,,,2026-09-09T13:49:43.152061
stage2_pmf_r2,b2f9241c492d,denoising__dflow__x1,denoising__dflow__x1,denoising,prob_114badd1eeb1e559,291_06_lion,pmf,meanflow,jax,pixel,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,1,,,,1.0,1.0,1.0,,,,0.1,adam,,,half_mean_squared_per_measurement,,,,,,,2560,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,28.891914673906427,0.7294787618893176,0.24983257055282593,0.2067287117242813,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,2265.1707959072664,283.1463494884083,1,5122,5122,5120,5120,5120,5122,5120,5120,5120,5120,0,5122,5120,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5805,8.0,6.4195,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,4,8,0,5.3142,8.85,42,0,seed=42|model=pmf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,f20a75fb006ed8cc,source_imagenet_class,7.0,ok,,,2026-09-09T13:49:43.152061
stage2_pmf_r2,b2f9241c492d,denoising__dflow__x1,denoising__dflow__x1,denoising,prob_114badd1eeb1e559,323_07_monarch_butterfly,pmf,meanflow,jax,pixel,dflow,D-Flow,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,1,,,,1.0,1.0,1.0,,,,0.1,adam,,,half_mean_squared_per_measurement,,,,,,,2560,,,not_applicable,not_applicable,method,not_applicable,not_applicable,not_applicable,25.631213037405473,0.7432057155047364,0.2055436670780182,0.2067287117242813,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,2265.1707959072664,283.1463494884083,1,5122,5122,5120,5120,5120,5122,5120,5120,5120,5120,0,5122,5120,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5805,8.0,6.4195,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,4,8,0,5.3142,8.85,42,0,seed=42|model=pmf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,f20a75fb006ed8cc,source_imagenet_class,7.0,ok,,,2026-09-09T13:49:43.152061
stage2_pmf_r2,a6af0c157ff3,denoising__mpc_delta_t__x1,denoising__mpc_delta_t__x1,denoising,prob_114badd1eeb1e559,000_00_tench,pmf,meanflow,jax,pixel,mpc_delta_t,MPC-delta_t,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,,,8,0.125,0.125,0.125,0.125,,30.0,10,0.15,adam,False,,half_sum_squared,sum_squared,none,,,,,,,,method,method,method,not_applicable,not_applicable,not_applicable,25.136599632297386,0.6006384859959616,0.2579982280731201,0.17138366401195526,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,16.810943827964365,2.1013679784955457,8,156,156,140,160,140,156,140,0,0,0,0,160,0,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5849,8.0,6.4151,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,4,8,0,6.1056,7.57,42,0,seed=42|model=pmf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,f20a75fb006ed8cc,source_imagenet_class,7.0,ok,,,2026-09-09T13:12:05.855321
stage2_pmf_r2,a6af0c157ff3,denoising__mpc_delta_t__x1,denoising__mpc_delta_t__x1,denoising,prob_114badd1eeb1e559,039_01_iguana,pmf,meanflow,jax,pixel,mpc_delta_t,MPC-delta_t,1.0,1.0,0.0,1.0,0.0,meanflow_descending,pure_prior_noise,identity,,,8,0.125,0.125,0.125,0.125,,30.0,10,0.15,adam,False,,half_sum_squared,sum_squared,none,,,,,,,,method,method,method,not_applicable,not_applicable,not_applicable,24.533296294009517,0.759495257462525,0.15642528235912323,0.17138366401195526,,,,,,20.460494989421008,0.40600529352712283,0.4711836613714695,20.460494989421008,16.810943827964365,2.1013679784955457,8,156,156,140,160,140,156,140,0,0,0,0,160,0,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5849,8.0,6.4151,"jax_device_memory_stats(peak_bytes_in_use)  [LIFETIME high-water mark: it has no reset API, so it can only over-report this job]",,,,unavailable,4,8,0,6.1056,7.57,42,0,seed=42|model=pmf|rep=0,a5f596e7c82cd3db,2b589d88aa3382a8,f20a75fb006ed8cc,source_imagenet_class,7.0,ok,,,2026-09-09T13:12:05.855321
