run_id,job_id,task,experiment,problem,problem_key,image_id,model,model_family,framework,state_space,method,method_title,t0,beta,canonical_start_time,native_start_time,native_end_time,native_time_mapping,initialization_kind,initialization_guide_mode,steps,solver,num_mpc_steps,delta,delta_nominal_uniform,delta_min,delta_max,K,lam,n_ctrl,lr,optimizer,warm_start,grad_clip,phi_normalization,control_cost_normalization,delta_t_lambda_scaling,num_pnp_steps,gamma0,alpha,noise_samples,num_opt_steps,num_rhso_steps,mu,hyperparameter_source_lam,hyperparameter_source_n_ctrl,hyperparameter_source_lr,hyperparameter_source_gamma0,hyperparameter_source_alpha,hyperparameter_source_mu,psnr,ssim,lpips,measurement_rmse,missing_rmse,missing_psnr,missing_ssim,observed_rmse,observed_psnr,degraded_psnr,degraded_ssim,degraded_lpips,guide_psnr,runtime,runtime_per_image,reconstruction_steps,network_forwards,model_evaluations,planning_model_evaluations,control_iterations,backprops_through_model,expected_model_evaluations,expected_backprops,objective_evaluations,data_gradient_evaluations,optimizer_iterations,denoiser_samples,expected_objective_evaluations,expected_data_gradients,rhso_terminal_mode,rhso_terminal_planner,rhso_consistency_kind,rhso_stage_diagnostics,rhso_consistency_diagnostics,rhso_jacobian_diagnostics,rhso_jacobian_probes,rhso_jacobian_power_iters,rhso_jacobian_seed,rhso_gradient_authority_diagnostics,measurement_noise_group,diagnostic_model_evaluations,diagnostic_network_forwards,diagnostic_jvps,diagnostic_vjps,diagnostic_seconds,stage_count,stage_delta_first,stage_delta_last,stage_delta_per_step_first,stage_delta_per_step_last,stage_theta_first,stage_theta_last,stage_v_pre_first,stage_v_post_last,endpoint_shift_native_relative_mean,endpoint_shift_pixel_rmse_mean,fidelity_shift_execution_mean,next_stage_recovery_mean,jacobian_sigma_max_first,jacobian_sigma_max_last,jacobian_log_anisotropy_first,jacobian_log_anisotropy_last,gradient_aligned_authority_first,gradient_aligned_authority_last,gradient_aligned_authority_mean,endpoint_fidelity_grad_norm_mean,state_fidelity_grad_norm_mean,gpu_baseline_gib,gpu_peak_gib,gpu_incremental_peak_gib,gpu_memory_source,gpu_process_baseline_gib,gpu_process_peak_gib,gpu_process_incremental_peak_gib,gpu_process_memory_source,batch_size,num_images,padded_items,warmup_seconds,model_load_seconds,seed,replicate,generative_noise_id,measurement_id,guide_id,initial_state_fingerprint,conditioning_label,cfg_scale,status,failure,output_dir,timestamp
theory_fixedM_jit,412160ec1411,denoising_M40_N1,denoising_M40_N1,denoising,prob_114badd1eeb1e559,ALL,jit,standard_flow,torch,pixel,rhso,RHSO,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,identity,,heun,,,1.0,1.0,1.0,,,,0.005,adam,,,half_mean_squared_per_measurement,,,,,,,40,1,0.2,not_applicable,not_applicable,method,not_applicable,not_applicable,method,16.15123177753729,0.32760947722209083,0.79727739661932,0.39136409759521484,,,,,,20.506989590911616,0.3925809256007184,0.48565553084015844,20.506989590911616,463.5068494230509,4.6350684942305085,1,2050,1025,1000,1000,1000,1025,1000,1000,1000,1000,0,1000,1000,direct,direct_clean_endpoint_prediction,terminal_prediction_inconsistency,True,True,False,,,,False,,50,100,0,0,10.5274,1,0.11849716417491436,0.11849716417491436,0.002962429104372859,0.002962429104372859,0.5586795784756,0.5586795784756,0.1950803627818823,0.07658319860696793,,,,,,,,,,,,,,0.9427,4.6714,3.7288,torch.cuda.max_memory_allocated,,,,unavailable,4,100,0,1.1154,28.38,42,0,seed=42|model=jit|rep=0,4f1ef324498b78cc,8641c1f2d7a21390,e2a001f391bba8ad,source_imagenet_class,2.4,ok,,,2026-09-14T13:56:37.877471
theory_fixedM_jit,43083e9944aa,denoising_M40_N2,denoising_M40_N2,denoising,prob_114badd1eeb1e559,ALL,jit,standard_flow,torch,pixel,rhso,RHSO,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,identity,,heun,,,0.5,0.5,0.5,,,,0.005,adam,,,half_mean_squared_per_measurement,,,,,,,40,2,0.2,not_applicable,not_applicable,method,not_applicable,not_applicable,method,20.811021756151305,0.5101329051465857,0.5114287205040455,0.2894632816314697,,,,,,20.506989590911616,0.3925809256007184,0.48565553084015844,20.506989590911616,923.9776149811223,9.239776149811224,2,4150,2075,2000,2000,2000,2075,2000,2000,2000,2000,0,2000,2000,direct,direct_clean_endpoint_prediction,terminal_prediction_inconsistency,True,True,False,,,,False,,100,200,0,0,21.1812,2,0.11849716417491436,0.0353508815728128,0.002962429104372859,0.0008837720393203199,0.5586795784756,0.4470098358862137,0.1950803627818823,0.04189736006781459,0.16977528316357915,0.06883955035732145,0.0006650430336594582,0.0353508815728128,,,,,,,,,,0.9427,4.6721,3.7294,torch.cuda.max_memory_allocated,,,,unavailable,4,100,0,2.3802,28.38,42,0,seed=42|model=jit|rep=0,4f1ef324498b78cc,8641c1f2d7a21390,e2a001f391bba8ad,source_imagenet_class,2.4,ok,,,2026-09-14T16:20:21.802248
theory_fixedM_jit,c70ba69fa3da,denoising_M40_N4,denoising_M40_N4,denoising,prob_114badd1eeb1e559,ALL,jit,standard_flow,torch,pixel,rhso,RHSO,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,identity,,heun,,,0.25,0.25,0.25,,,,0.005,adam,,,half_mean_squared_per_measurement,,,,,,,40,4,0.2,not_applicable,not_applicable,method,not_applicable,not_applicable,method,27.736083006500607,0.7993573763007998,0.1703274681419134,0.21671700477600098,,,,,,20.506989590911616,0.3925809256007184,0.48565553084015844,20.506989590911616,1870.1707614259794,18.701707614259796,4,8350,4175,4000,4000,4000,4175,4000,4000,4000,4000,0,4000,4000,direct,direct_clean_endpoint_prediction,terminal_prediction_inconsistency,True,True,False,,,,False,,200,400,0,0,42.5746,4,0.11849716417491436,0.0069375899061560635,0.002962429104372859,0.0001734397476539016,0.5586795784756,0.20884440829901207,0.1950803627818823,0.023484443854540585,0.1771029147922501,0.07618619680807738,0.0029742503476639587,0.020673835265139738,,,,,,,,,,0.9427,4.6721,3.7294,torch.cuda.max_memory_allocated,,,,unavailable,4,100,0,4.9498,28.38,42,0,seed=42|model=jit|rep=0,4f1ef324498b78cc,8641c1f2d7a21390,e2a001f391bba8ad,source_imagenet_class,2.4,ok,,,2026-09-14T16:52:25.646533
theory_fixedM_jit,4e7dcde994bf,denoising_M40_N8,denoising_M40_N8,denoising,prob_114badd1eeb1e559,ALL,jit,standard_flow,torch,pixel,rhso,RHSO,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,identity,,heun,,,0.125,0.125,0.125,,,,0.005,adam,,,half_mean_squared_per_measurement,,,,,,,40,8,0.2,not_applicable,not_applicable,method,not_applicable,not_applicable,method,27.123123242965747,0.7009910787769894,0.30476183623075487,0.19287480413913727,,,,,,20.506989590911616,0.3925809256007184,0.48565553084015844,20.506989590911616,3750.773265107535,37.50773265107535,8,16750,8375,8000,8000,8000,8375,8000,8000,8000,8000,0,8000,8000,direct,direct_clean_endpoint_prediction,terminal_prediction_inconsistency,True,True,False,,,,False,,400,800,0,0,85.9156,8,0.11849716417491436,0.0026519706845283507,0.002962429104372859,6.629926711320877e-05,0.5586795784756,0.11334443570697701,0.1950803627818823,0.018586734179407358,0.1724148657611498,0.07765059389117468,0.005244354297007833,0.013529563500945058,,,,,,,,,,0.9427,4.6721,3.7294,torch.cuda.max_memory_allocated,,,,unavailable,4,100,0,10.038,28.38,42,0,seed=42|model=jit|rep=0,4f1ef324498b78cc,8641c1f2d7a21390,e2a001f391bba8ad,source_imagenet_class,2.4,ok,,,2026-09-14T17:56:38.417330
theory_fixedM_jit,68097cb41d5f,denoising_M40_N16,denoising_M40_N16,denoising,prob_114badd1eeb1e559,ALL,jit,standard_flow,torch,pixel,rhso,RHSO,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,identity,,heun,,,0.0625,0.0625,0.0625,,,,0.005,adam,,,half_mean_squared_per_measurement,,,,,,,40,16,0.2,not_applicable,not_applicable,method,not_applicable,not_applicable,method,26.690679967631578,0.6709974413699791,0.339590522646904,0.19096538424491882,,,,,,20.506989590911616,0.3925809256007184,0.48565553084015844,20.506989590911616,7474.251710439101,74.74251710439101,16,33550,16775,16000,16000,16000,16775,16000,16000,16000,16000,0,16000,16000,direct,direct_clean_endpoint_prediction,terminal_prediction_inconsistency,True,True,False,,,,False,,800,1600,0,0,169.1871,16,0.11849716417491436,0.0016613411344587803,0.002962429104372859,4.15335283614695e-05,0.5586795784756,0.07106327080470573,0.1950803627818823,0.018202728163450956,0.15419009806908043,0.07304916630339602,0.005967085234820843,0.009859116597721974,,,,,,,,,,0.9427,4.6721,3.7294,torch.cuda.max_memory_allocated,,,,unavailable,4,100,0,20.1497,28.38,42,0,seed=42|model=jit|rep=0,4f1ef324498b78cc,8641c1f2d7a21390,e2a001f391bba8ad,source_imagenet_class,2.4,ok,,,2026-09-14T16:04:27.932460
theory_fixedM_jit,7872e78d1c00,deblur_M40_N1,deblur_M40_N1,deblur,prob_c2be85f48d232774,ALL,jit,standard_flow,torch,pixel,rhso,RHSO,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,observed,,heun,,,1.0,1.0,1.0,,,,0.01,adam,,,half_mean_squared_per_measurement,,,,,,,40,1,0.0,not_applicable,not_applicable,method,not_applicable,not_applicable,method,16.29413230667229,0.33084347067203856,0.7876653814315796,0.3057170510292053,,,,,,25.905274122170724,0.7119675892057821,0.2729102413356304,25.905274122170724,461.7038561310619,4.617038561310619,1,2050,1025,1000,1000,1000,1025,1000,1000,1000,1000,0,1000,1000,direct,direct_clean_endpoint_prediction,terminal_prediction_inconsistency,True,True,False,,,,False,,50,100,0,0,10.8724,1,0.12015917956829071,0.12015917956829071,0.0030039794892072684,0.0030039794892072684,0.6737079927514745,0.6737079927514745,0.16689191196113826,0.04673273239284754,,,,,,,,,,,,,,0.9427,4.668,3.7253,torch.cuda.max_memory_allocated,,,,unavailable,4,100,0,1.2251,5.28,42,0,seed=42|model=jit|rep=0,f94f831212115ea6,7a0d621a496f7a97,e2a001f391bba8ad,source_imagenet_class,2.4,ok,,,2026-09-14T16:15:51.296737
theory_fixedM_jit,291dde1d5f2c,deblur_M40_N2,deblur_M40_N2,deblur,prob_c2be85f48d232774,ALL,jit,standard_flow,torch,pixel,rhso,RHSO,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,observed,,heun,,,0.5,0.5,0.5,,,,0.01,adam,,,half_mean_squared_per_measurement,,,,,,,40,2,0.0,not_applicable,not_applicable,method,not_applicable,not_applicable,method,23.06363110215701,0.5995595482281155,0.4381289078295231,0.12240657955408096,,,,,,25.905274122170724,0.7119675892057821,0.2729102413356304,25.905274122170724,623.4260454382747,6.234260454382747,2,4150,2075,2000,2000,2000,2075,2000,2000,2000,2000,0,2000,2000,direct,direct_clean_endpoint_prediction,terminal_prediction_inconsistency,True,True,False,,,,False,,100,200,0,0,14.8092,2,0.12015917956829071,0.04165962791652419,0.0030039794892072684,0.0010414906979131049,0.6737079927514745,0.8525170185130553,0.16689191196113826,0.0074960997083690015,0.19530481048960754,0.08349122919819801,0.0024229952320456503,0.04165962791652419,,,,,,,,,,0.9427,4.668,3.7253,torch.cuda.max_memory_allocated,,,,unavailable,4,100,0,1.6213,5.28,42,0,seed=42|model=jit|rep=0,f94f831212115ea6,7a0d621a496f7a97,e2a001f391bba8ad,source_imagenet_class,2.4,ok,,,2026-09-14T18:28:26.968306
theory_fixedM_jit,4cfeccf550e6,deblur_M40_N4,deblur_M40_N4,deblur,prob_c2be85f48d232774,ALL,jit,standard_flow,torch,pixel,rhso,RHSO,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,observed,,heun,,,0.25,0.25,0.25,,,,0.01,adam,,,half_mean_squared_per_measurement,,,,,,,40,4,0.0,not_applicable,not_applicable,method,not_applicable,not_applicable,method,29.293010580545214,0.8513263882357092,0.15949365325272083,0.05605345219373703,,,,,,25.905274122170724,0.7119675892057821,0.2729102413356304,25.905274122170724,1833.036535887979,18.33036535887979,4,8350,4175,4000,4000,4000,4175,4000,4000,4000,4000,0,4000,4000,direct,direct_clean_endpoint_prediction,terminal_prediction_inconsistency,True,True,False,,,,False,,200,400,0,0,41.2139,4,0.12015917956829071,0.00234983287518844,0.0030039794892072684,5.874582187971102e-05,0.6737079927514745,0.5016997743742314,0.16689191196113826,0.0015728419600054622,0.2011256310783965,0.09084145492692945,0.0044391276400225855,0.019492424450969943,,,,,,,,,,0.9427,4.668,3.7253,torch.cuda.max_memory_allocated,,,,unavailable,4,100,0,3.3623,28.38,42,0,seed=42|model=jit|rep=0,f94f831212115ea6,7a0d621a496f7a97,e2a001f391bba8ad,source_imagenet_class,2.4,ok,,,2026-09-14T12:44:17.441644
theory_fixedM_jit,3c441697a5a0,deblur_M40_N8,deblur_M40_N8,deblur,prob_c2be85f48d232774,ALL,jit,standard_flow,torch,pixel,rhso,RHSO,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,observed,,heun,,,0.125,0.125,0.125,,,,0.01,adam,,,half_mean_squared_per_measurement,,,,,,,40,8,0.0,not_applicable,not_applicable,method,not_applicable,not_applicable,method,28.24072221413418,0.7747186328295212,0.22840526513755322,0.051422640681266785,,,,,,25.905274122170724,0.7119675892057821,0.2729102413356304,25.905274122170724,3756.9990075072274,37.569990075072276,8,16750,8375,8000,8000,8000,8375,8000,8000,8000,8000,0,8000,8000,direct,direct_clean_endpoint_prediction,terminal_prediction_inconsistency,True,True,False,,,,False,,400,800,0,0,85.5097,8,0.12015917956829071,0.0014287916221655905,0.0030039794892072684,3.571979055413977e-05,0.6737079927514745,0.2523818552541622,0.16689191196113826,0.0013218953041359781,0.19493315733440908,0.09182271305508827,0.00688151460174205,0.013368777042986559,,,,,,,,,,0.9427,4.668,3.7253,torch.cuda.max_memory_allocated,,,,unavailable,4,100,0,10.0755,28.38,42,0,seed=42|model=jit|rep=0,f94f831212115ea6,7a0d621a496f7a97,e2a001f391bba8ad,source_imagenet_class,2.4,ok,,,2026-09-14T13:48:36.648900
theory_fixedM_jit,2ab4105135c2,deblur_M40_N16,deblur_M40_N16,deblur,prob_c2be85f48d232774,ALL,jit,standard_flow,torch,pixel,rhso,RHSO,1.0,1.0,0.0,0.0,1.0,flow_ascending,pure_prior_noise,observed,,heun,,,0.0625,0.0625,0.0625,,,,0.01,adam,,,half_mean_squared_per_measurement,,,,,,,40,16,0.0,not_applicable,not_applicable,method,not_applicable,not_applicable,method,25.38948397953248,0.6382226788942977,0.44929996997117994,0.0533687099814415,,,,,,25.905274122170724,0.7119675892057821,0.2729102413356304,25.905274122170724,7119.17228787113,71.1917228787113,16,33550,16775,16000,16000,16000,16775,16000,16000,16000,16000,0,16000,16000,direct,direct_clean_endpoint_prediction,terminal_prediction_inconsistency,True,True,False,,,,False,,800,1600,0,0,162.5957,16,0.12015917956829071,0.0016118998522870243,0.0030039794892072684,4.029749630717562e-05,0.6737079927514745,0.1952950022013161,0.16689191196113826,0.0014205584686715156,0.16628040130919605,0.08178447913117906,0.007015871141183501,0.01003668273612857,,,,,,,,,,0.9427,4.668,3.7253,torch.cuda.max_memory_allocated,,,,unavailable,4,100,0,20.1665,5.28,42,0,seed=42|model=jit|rep=0,f94f831212115ea6,7a0d621a496f7a97,e2a001f391bba8ad,source_imagenet_class,2.4,ok,,,2026-09-14T18:17:40.987479
